epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,1697.08,1.18126,1.00381,1.16654,0.85222,0.78383,0.85274,0.53538,1.28835,0.91942,1.26656,0.0012674,0.0012674,0.0012674
113,1711.85,1.14837,0.97701,1.15018,0.84725,0.70295,0.80805,0.48145,1.40665,1.01844,1.31861,0.0012608,0.0012608,0.0012608
114,1727.34,1.15633,0.97403,1.15001,0.81296,0.73002,0.80121,0.49297,1.36317,1.0305,1.30278,0.0012542,0.0012542,0.0012542
115,1741.75,1.14332,0.951,1.15431,0.83626,0.77047,0.8387,0.53773,1.26839,0.91545,1.23928,0.0012476,0.0012476,0.0012476
116,1756.71,1.1199,0.95761,1.14921,0.83825,0.7605,0.85225,0.53798,1.2682,0.90353,1.24248,0.001241,0.001241,0.001241
117,1771.42,1.12645,0.95029,1.15275,0.81757,0.78072,0.84006,0.52087,1.32191,0.90387,1.25826,0.0012344,0.0012344,0.0012344
118,1787,1.14681,0.9769,1.12675,0.81499,0.76983,0.83071,0.50802,1.37811,0.94676,1.30701,0.0012278,0.0012278,0.0012278
119,1801.81,1.11997,0.9327,1.14557,0.75491,0.74495,0.78766,0.47013,1.41839,0.99351,1.33066,0.0012212,0.0012212,0.0012212
120,1816.34,1.09932,0.94034,1.12943,0.80996,0.75894,0.81688,0.50809,1.34462,0.9282,1.26839,0.0012146,0.0012146,0.0012146
121,1831.61,1.10595,0.9744,1.15604,0.8047,0.74334,0.81755,0.49864,1.37781,0.96489,1.30736,0.001208,0.001208,0.001208
122,1846.32,1.13451,0.96036,1.15271,0.85826,0.75739,0.83243,0.51095,1.31186,0.92643,1.27185,0.0012014,0.0012014,0.0012014
123,1861.2,1.1244,0.93483,1.14127,0.83633,0.84292,0.87395,0.54756,1.2653,0.84257,1.25486,0.0011948,0.0011948,0.0011948
124,1876.11,1.13579,0.93677,1.14139,0.86533,0.83204,0.87899,0.55999,1.22849,0.80186,1.22616,0.0011882,0.0011882,0.0011882
125,1891.46,1.12734,0.93994,1.13929,0.85483,0.81507,0.88688,0.56364,1.25803,0.81576,1.23738,0.0011816,0.0011816,0.0011816
126,1906.19,1.11717,0.94188,1.13926,0.81451,0.81949,0.85523,0.5299,1.33218,0.8576,1.2858,0.001175,0.001175,0.001175
127,1920.98,1.09552,0.9074,1.1346,0.85975,0.8056,0.88144,0.54527,1.27046,0.82831,1.23602,0.0011684,0.0011684,0.0011684
128,1935.35,1.10609,0.91238,1.126,0.80863,0.78858,0.84734,0.52975,1.28133,0.88049,1.23683,0.0011618,0.0011618,0.0011618
129,1950.6,1.10923,0.91401,1.13404,0.85618,0.78696,0.86086,0.54997,1.24652,0.8456,1.2241,0.0011552,0.0011552,0.0011552
130,1965.58,1.11635,0.9083,1.14393,0.85424,0.80208,0.86826,0.5539,1.25125,0.84536,1.2392,0.0011486,0.0011486,0.0011486
131,1980.85,1.0757,0.89029,1.10448,0.87108,0.75583,0.84443,0.52526,1.30406,0.86657,1.28137,0.001142,0.001142,0.001142
